buying,maint,doors,persons,lug_boot,safety,class
vhigh,high,4,4,med,med,acc
vhigh,low,4,4,med,high,acc
low,low,5more,4,big,low,unacc
vhigh,high,4,4,big,med,acc
low,low,4,4,big,high,acc
vhigh,high,4,more,small,low,unacc
low,high,4,more,big,med,unacc
vhigh,vhigh,5more,4,big,med,unacc
vhigh,vhigh,2,4,small,high,unacc
low,vhigh,5more,4,big,low,unacc
vhigh,vhigh,5more,4,med,med,unacc
low,vhigh,2,4,med,high,unacc
vhigh,vhigh,2,4,big,low,unacc
low,low,2,4,small,med,unacc
vhigh,vhigh,2,4,big,high,unacc
vhigh,vhigh,5more,more,small,low,unacc
vhigh,low,2,more,big,med,unacc
low,vhigh,2,more,small,high,unacc
vhigh,low,5more,more,med,low,unacc
low,vhigh,2,more,big,med,unacc
vhigh,vhigh,2,more,med,high,unacc
low,vhigh,2,more,big,low,unacc
vhigh,low,2,more,big,med,unacc
low,vhigh,5more,more,big,high,unacc
vhigh,vhigh,3,2,small,low,unacc